,LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,PaymentFrequency,DaysPastDue,OriginalValue,CreditScore,Term,AccountStatus,Bad,Mo_Term,Mo_Payment,Rem_Term,Seasoning
0,1,6499.56,24.0,484.42,MO,1433,10125.0,578.0,60,CH 13 BANKRUPTCY,1,60.0,484.42,16.0,0.7333333333333333
1,3,3599.79,24.0,365.07,MO,1342,6400.0,598.0,60,CH 13 BANKRUPTCY,1,62.0,365.07,11.0,0.8225806451612904
2,4,2451.58,17.95,430.37,MO,1115,13275.0,573.0,60,CH 13 BANKRUPTCY,1,60.0,430.37,6.0,0.9
3,5,3594.28,17.99,369.48,MO,65,9250.0,598.0,72,PAYING,0,60.0,369.48,11.0,0.8166666666666667
4,6,3595.07,17.95,655.06,MO,101,18800.0,550.0,76,PAYING,0,72.0,655.06,6.0,0.9166666666666666
5,7,4002.6,16.95,256.81,BW,1258,11375.0,529.0,111,CH 13 BANKRUPTCY,1,35.0,554.7096,8.0,0.7714285714285715
6,8,4448.83,17.95,516.76,MO,0,13925.0,557.0,74,PAYING,0,111.0,516.76,9.0,0.918918918918919
7,9,1236.8,18.0,371.59,MO,547,10350.0,481.0,66,CH 13 BANKRUPTCY,1,74.0,371.59,3.0,0.9594594594594594
8,11,7241.13,18.0,420.42,MO,0,13225.0,500.0,75,PAYING,0,66.0,420.42,20.0,0.696969696969697
9,12,2649.18,18.0,455.21,MO,0,13075.0,570.0,74,PAYING,0,81.0,455.21,6.0,0.9259259259259259
10,13,14143.42,27.0,515.44,MO,887,11600.0,552.0,74,CH 13 BANKRUPTCY,1,75.0,515.44,43.0,0.4266666666666667
11,14,1225.07,15.0,454.62,MO,0,15100.0,614.0,79,PAYING,0,74.0,454.62,3.0,0.9594594594594594
12,15,5834.48,18.24,413.67,MO,59,11350.0,509.0,77,PAYING,0,74.0,413.67,16.0,0.7837837837837838
13,16,4819.9,23.95,521.55,MO,1,15475.0,551.0,74,PAYING,0,79.0,521.55,10.0,0.8734177215189873
14,17,12365.12,18.0,553.52,MO,395,13125.0,594.0,76,CH 13 BANKRUPTCY,1,77.0,553.52,27.0,0.6493506493506493
15,18,1410.93,25.0,219.37,MO,745,4300.0,618.0,60,CH 13 BANKRUPTCY,1,74.0,219.37,7.0,0.9054054054054054
16,19,8058.02,24.99,387.18,MO,1605,8600.0,514.0,48,CH 13 BANKRUPTCY,1,76.0,387.18,28.0,0.631578947368421
17,20,1782.68,24.0,403.66,MO,428,10175.0,506.0,72,CH 13 BANKRUPTCY,1,60.0,403.66,5.0,0.9166666666666666
18,21,9362.85,20.95,374.67,MO,1331,10425.0,528.0,72,CH 13 BANKRUPTCY,1,48.0,374.67,33.0,0.3125
