LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,PaymentFrequency,DaysPastDue,OriginalValue,CreditScore,Term,AccountStatus
1,6499.56,24,484.42,MO,1433,10125,578,60,CH 13 BANKRUPTCY
2,1002.1,23,421.94,MO,1095,6650,0,62,CH 13 BANKRUPTCY
3,3599.79,24,365.07,MO,1342,6400,598,60,CH 13 BANKRUPTCY
4,2451.58,17.95,430.37,MO,1115,13275,573,60,CH 13 BANKRUPTCY
5,3594.28,17.99,369.48,MO,65,9250,598,72,PAYING
6,3595.07,17.95,655.06,MO,101,18800,550,76,PAYING
7,4002.6,16.95,256.81,BW,1258,11375,529,111,CH 13 BANKRUPTCY
8,4448.83,17.95,516.76,MO,0,13925,557,74,PAYING
9,1236.8,18,371.59,MO,547,10350,481,66,CH 13 BANKRUPTCY
10,8945.64,17.95,498.13,MO,78,13200,0,81,REPO HOLD
11,7241.13,18,420.42,MO,0,13225,500,75,PAYING
12,2649.18,18,455.21,MO,0,13075,570,74,PAYING
13,14143.42,27,515.44,MO,887,11600,552,74,CH 13 BANKRUPTCY
14,1225.07,15,454.62,MO,0,15100,614,79,PAYING
15,5834.48,18.24,413.67,MO,59,11350,509,77,PAYING
16,4819.9,23.95,521.55,MO,1,15475,551,74,PAYING
17,12365.12,18,553.52,MO,395,13125,594,76,CH 13 BANKRUPTCY
18,1410.93,25,219.37,MO,745,4300,618,60,CH 13 BANKRUPTCY
19,8058.02,24.99,387.18,MO,1605,8600,514,48,CH 13 BANKRUPTCY
20,1782.68,24,403.66,MO,428,10175,506,72,CH 13 BANKRUPTCY
21,9362.85,20.95,374.67,MO,1331,10425,528,72,CH 13 BANKRUPTCY
22,3357.81,23.95,406.89,MO,25,8550,509,66,PAYING
23,11836.45,24,423.21,MO,749,10725,544,74,CH 13 BANKRUPTCY
24,1490.56,18.99,386.31,MO,28,12300,0,72,PAYING
25,1667.02,18.99,373.55,MO,7,11775,528,74,PAYING
26,8319.51,19.94,520.08,MO,629,14250,0,79,CH 13 BANKRUPTCY
27,5521.79,24.95,365.76,MO,87,9025,511,67,PAYING
28,5273.21,21,436,MO,866,9150,563,60,CH 13 BANKRUPTCY
29,1394.14,21,520.23,MO,127,16975,0,62,REPO ASSIGN
30,3300.75,17.99,420.08,MO,4,11625,499,73,PAYING
31,5550.87,20.57,475.58,MO,0,12675,444,67,PAYING
32,3189.24,23.98,681.39,MO,9,22325,0,73,PAYING
33,1144.37,18.34,551.61,MO,0,17925,566,72,PAYING
34,1065.13,28,235,MO,494,5350,531,48,PAYING
